,City,Price,Area,Location,bhk
186,Bangalore,6994000.0,1340.0,Bangalore Anjanapura,2.0
187,Bangalore,6989000.0,1339.0,Bangalore Anjanapura,2.0
192,Bangalore,6953000.0,1332.0,Bangalore Anjanapura,2.0
194,Bangalore,7500000.0,1390.0,Bangalore Anjanapura,3.0
195,Bangalore,6000000.0,1140.0,Bangalore Anjanapura,2.0
199,Bangalore,3038000.0,1085.0,Bangalore Attibele,2.0
200,Bangalore,2520000.0,900.0,Bangalore Attibele,2.0
203,Bangalore,2800000.0,1000.0,Bangalore Attibele,2.0
204,Bangalore,2464000.0,880.0,Bangalore Attibele,2.0
209,Bangalore,2487000.0,995.0,Bangalore Attibele,2.0
210,Bangalore,2935000.0,1174.0,Bangalore Attibele,2.0
212,Bangalore,3202000.0,1281.0,Bangalore Attibele,2.0
213,Bangalore,2867000.0,1147.0,Bangalore Attibele,2.0
217,Bangalore,2436000.0,870.0,Bangalore Attibele,2.0
218,Bangalore,2800000.0,1000.0,Bangalore Attibele,2.0
220,Bangalore,2520000.0,900.0,Bangalore Attibele,2.0
221,Bangalore,3038000.0,1085.0,Bangalore Attibele,2.0
222,Bangalore,2464000.0,880.0,Bangalore Attibele,2.0
223,Bangalore,2800000.0,1000.0,Bangalore Attibele,1.0
225,Bangalore,2436000.0,870.0,Bangalore Attibele,2.0
226,Bangalore,2800000.0,1000.0,Bangalore Attibele,2.0
228,Bangalore,2520000.0,900.0,Bangalore Attibele,2.0
230,Bangalore,3038000.0,1085.0,Bangalore Attibele,2.0
231,Bangalore,2464000.0,880.0,Bangalore Attibele,2.0
233,Bangalore,3900000.0,994.0,Bangalore Attibele,2.0
235,Bangalore,2400000.0,1174.0,Bangalore Attibele,2.0
236,Bangalore,3700000.0,995.0,Bangalore Attibele,2.0
238,Bangalore,5000000.0,1281.0,Bangalore Attibele,2.0
241,Bangalore,4600000.0,994.0,Bangalore Attibele,2.0
246,Bangalore,3200000.0,1281.0,Bangalore Attibele,2.0
247,Bangalore,2400000.0,1281.0,Bangalore Attibele,2.0
248,Bangalore,2900000.0,995.0,Bangalore Attibele,2.0
249,Bangalore,2400000.0,1174.0,Bangalore Attibele,2.0
250,Bangalore,2500000.0,994.0,Bangalore Attibele,2.0
251,Bangalore,2500000.0,995.0,Bangalore Attibele,2.0
252,Bangalore,6200000.0,994.0,Bangalore Attibele,2.0
253,Bangalore,7500000.0,994.0,Bangalore Attibele,2.0
256,Bangalore,2900000.0,1529.0,Bangalore Attibele,2.0
257,Bangalore,2400000.0,1174.0,Bangalore Attibele,2.0
258,Bangalore,3200000.0,995.0,Bangalore Attibele,2.0
261,Bangalore,9000000.0,779.0,Bangalore Attibele,2.0
263,Bangalore,2899000.0,779.0,Bangalore Attibele,2.0
264,Bangalore,4146000.0,779.0,Bangalore Attibele,2.0
265,Bangalore,7840000.0,779.0,Bangalore Attibele,2.0
266,Bangalore,2288000.0,779.0,Bangalore Attibele,2.0
267,Bangalore,5070000.0,779.0,Bangalore Attibele,2.0
268,Bangalore,3045000.0,779.0,Bangalore Attibele,2.0
269,Bangalore,5947000.0,924.0,Bangalore Attibele,3.0
271,Bangalore,7998999.0,924.0,Bangalore Attibele,3.0
272,Bangalore,3859000.0,779.0,Bangalore Attibele,2.0
273,Bangalore,4237000.0,924.0,Bangalore Attibele,3.0
276,Bangalore,7208000.0,924.0,Bangalore Attibele,3.0
277,Bangalore,8400000.0,924.0,Bangalore Attibele,3.0
278,Bangalore,8400000.0,779.0,Bangalore Attibele,2.0
279,Bangalore,6625000.0,924.0,Bangalore Attibele,3.0
281,Bangalore,4057000.0,924.0,Bangalore Attibele,3.0
283,Bangalore,7000000.0,924.0,Bangalore Attibele,3.0
286,Bangalore,8081999.0,925.0,Bangalore Attibele,3.0
287,Bangalore,6043000.0,924.0,Bangalore Attibele,3.0
288,Bangalore,4144000.0,918.0,Bangalore Attibele,3.0
289,Bangalore,4057000.0,923.0,Bangalore Attibele,3.0
292,Bangalore,3900000.0,924.0,Bangalore Attibele,3.0
293,Bangalore,3900000.0,924.0,Bangalore Attibele,3.0
294,Bangalore,3900000.0,924.0,Bangalore Attibele,3.0
296,Bangalore,7840000.0,924.0,Bangalore Attibele,3.0
297,Bangalore,6858000.0,925.0,Bangalore Attibele,3.0
300,Bangalore,3650000.0,779.0,Bangalore Attibele,2.0
301,Bangalore,3859000.0,929.0,Bangalore Attibele,3.0
305,Bangalore,8000000.0,924.0,Bangalore Attibele,3.0
309,Bangalore,4176000.0,924.0,Bangalore Attibele,3.0
310,Bangalore,5750000.0,924.0,Bangalore Attibele,3.0
311,Bangalore,7020000.0,924.0,Bangalore Attibele,3.0
312,Bangalore,11800000.0,924.0,Bangalore Attibele,3.0
313,Bangalore,4070000.0,779.0,Bangalore Attibele,2.0
314,Bangalore,5248000.0,922.0,Bangalore Attibele,3.0
315,Bangalore,5301000.0,921.0,Bangalore Attibele,3.0
316,Bangalore,3859000.0,927.0,Bangalore Attibele,3.0
317,Bangalore,4864000.0,920.0,Bangalore Attibele,3.0
318,Bangalore,6500000.0,926.0,Bangalore Attibele,3.0
319,Bangalore,4492000.0,924.0,Bangalore Attibele,3.0
320,Bangalore,6094000.0,924.0,Bangalore Attibele,3.0
323,Bangalore,3859000.0,924.0,Bangalore Attibele,3.0
324,Bangalore,7300000.0,924.0,Bangalore Attibele,3.0
325,Bangalore,5750000.0,924.0,Bangalore Attibele,3.0
328,Bangalore,4240000.0,924.0,Bangalore Attibele,3.0
329,Bangalore,5664000.0,924.0,Bangalore Attibele,3.0
330,Bangalore,6597000.0,779.0,Bangalore Attibele,2.0
331,Bangalore,5487000.0,779.0,Bangalore Attibele,2.0
332,Bangalore,5244000.0,779.0,Bangalore Attibele,2.0
333,Bangalore,4948000.0,779.0,Bangalore Attibele,2.0
334,Bangalore,4198000.0,779.0,Bangalore Attibele,2.0
337,Bangalore,6950000.0,1392.0,Bangalore Avalahalli Off Sarjapur Road,2.0
339,Bangalore,4209000.0,771.0,Bangalore Avalahalli Off Sarjapur Road,1.0
340,Bangalore,5478000.0,1128.0,Bangalore Avalahalli Off Sarjapur Road,2.0
341,Bangalore,3267000.0,568.0,Bangalore Avalahalli Off Sarjapur Road,1.0
343,Bangalore,6731000.0,1268.0,Bangalore Avalahalli Off Sarjapur Road,2.0
344,Bangalore,6385000.0,1272.0,Bangalore Avalahalli Off Sarjapur Road,2.0
346,Bangalore,17100000.0,1618.0,Bangalore Avalahalli Off Sarjapur Road,3.0
347,Bangalore,6711000.0,1392.0,Bangalore Avalahalli Off Sarjapur Road,2.0
349,Bangalore,5478000.0,771.0,Bangalore Avalahalli Off Sarjapur Road,1.0
350,Bangalore,3267000.0,1128.0,Bangalore Avalahalli Off Sarjapur Road,2.0
352,Bangalore,6385000.0,1268.0,Bangalore Avalahalli Off Sarjapur Road,2.0
353,Bangalore,10800000.0,1272.0,Bangalore Avalahalli Off Sarjapur Road,2.0
355,Bangalore,5478000.0,771.0,Bangalore Avalahalli Off Sarjapur Road,1.0
356,Bangalore,3267000.0,1128.0,Bangalore Avalahalli Off Sarjapur Road,2.0
357,Bangalore,8378000.0,1268.0,Bangalore Avalahalli Off Sarjapur Road,2.0
359,Bangalore,10800000.0,1272.0,Bangalore Avalahalli Off Sarjapur Road,2.0
361,Bangalore,7368000.0,1392.0,Bangalore Avalahalli Off Sarjapur Road,2.0
362,Bangalore,7368000.0,1320.0,Bangalore Avalahalli Off Sarjapur Road,3.0
363,Bangalore,8148000.0,1320.0,Bangalore Avalahalli Off Sarjapur Road,3.0
364,Bangalore,3621000.0,1070.0,Bangalore Avalahalli Off Sarjapur Road,2.0
365,Bangalore,7698999.0,1065.0,Bangalore Avalahalli Off Sarjapur Road,2.0
366,Bangalore,5447000.0,967.0,Bangalore Avalahalli Off Sarjapur Road,3.0
367,Bangalore,5612000.0,742.0,Bangalore Avalahalli Off Sarjapur Road,2.0
368,Bangalore,6913000.0,758.0,Bangalore Avalahalli Off Sarjapur Road,2.0
369,Bangalore,6519000.0,982.0,Bangalore Avalahalli Off Sarjapur Road,3.0
370,Bangalore,9148000.0,916.0,Bangalore Avalahalli Off Sarjapur Road,3.0
371,Bangalore,5447000.0,967.0,Bangalore Avalahalli Off Sarjapur Road,3.0
372,Bangalore,5612000.0,742.0,Bangalore Avalahalli Off Sarjapur Road,2.0
373,Bangalore,6913000.0,758.0,Bangalore Avalahalli Off Sarjapur Road,2.0
374,Bangalore,6519000.0,982.0,Bangalore Avalahalli Off Sarjapur Road,3.0
375,Bangalore,9148000.0,916.0,Bangalore Avalahalli Off Sarjapur Road,3.0
376,Bangalore,7040000.0,1616.0,Bangalore Avalahalli Off Sarjapur Road,2.0
377,Bangalore,5800000.0,941.0,Bangalore Avalahalli Off Sarjapur Road,2.0
378,Bangalore,4239000.0,1179.0,Bangalore Avalahalli Off Sarjapur Road,2.0
380,Bangalore,3447000.0,1079.0,Bangalore Avalahalli Off Sarjapur Road,2.0
381,Bangalore,3440999.0,1143.0,Bangalore Avalahalli Off Sarjapur Road,2.0
382,Bangalore,3585000.0,1089.0,Bangalore Avalahalli Off Sarjapur Road,2.0
384,Bangalore,3768000.0,1152.0,Bangalore Avalahalli Off Sarjapur Road,2.0
385,Bangalore,4995000.0,1149.0,Bangalore Avalahalli Off Sarjapur Road,2.0
386,Bangalore,9000000.0,1147.0,Bangalore Avalahalli Off Sarjapur Road,2.0
387,Bangalore,4057000.0,1195.0,Bangalore Avalahalli Off Sarjapur Road,2.0
388,Bangalore,6998999.0,1284.0,Bangalore Avalahalli Off Sarjapur Road,2.0
389,Bangalore,2848000.0,1256.0,Bangalore BEML Layout 5th Stage,3.0
390,Bangalore,8120000.0,1400.0,Bangalore BEML Layout 5th Stage,3.0
391,Bangalore,7840000.0,1500.0,Bangalore BEML Layout 5th Stage,3.0
392,Bangalore,6015000.0,1500.0,Bangalore BEML Layout 5th Stage,3.0
393,Bangalore,8400000.0,1400.0,Bangalore BEML Layout 5th Stage,3.0
394,Bangalore,6188000.0,1450.0,Bangalore BEML Layout 5th Stage,3.0
395,Bangalore,7840000.0,1500.0,Bangalore BEML Layout 5th Stage,3.0
396,Bangalore,7356000.0,1500.0,Bangalore BEML Layout 5th Stage,3.0
397,Bangalore,4133000.0,1360.0,Bangalore BEML Layout 5th Stage,3.0
398,Bangalore,3801000.0,1500.0,Bangalore BEML Layout 5th Stage,3.0
399,Bangalore,4578000.0,1500.0,Bangalore BEML Layout 5th Stage,3.0
400,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
401,Bangalore,20099999.0,2240.0,Bangalore BTM Layout,3.0
402,Bangalore,15700000.0,1750.0,Bangalore BTM Layout,3.0
403,Bangalore,15700000.0,1750.0,Bangalore BTM Layout,3.0
404,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
405,Bangalore,15500000.0,1730.0,Bangalore BTM Layout,3.0
406,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
407,Bangalore,15700000.0,1750.0,Bangalore BTM Layout,3.0
408,Bangalore,15700000.0,1750.0,Bangalore BTM Layout,3.0
409,Bangalore,15700000.0,1750.0,Bangalore BTM Layout,3.0
410,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
411,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
412,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
413,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
414,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
415,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
416,Bangalore,13899999.0,1545.0,Bangalore BTM Layout,3.0
417,Bangalore,3100000.0,1535.0,Bangalore Babusa Palya,2.0
418,Bangalore,4305000.0,1535.0,Bangalore Babusa Palya,2.0
420,Bangalore,6094000.0,1406.0,Bangalore Babusa Palya,3.0
422,Bangalore,3100000.0,1535.0,Bangalore Babusa Palya,2.0
423,Bangalore,6500000.0,1535.0,Bangalore Babusa Palya,2.0
424,Bangalore,3800000.0,1140.0,Bangalore Babusa Palya,2.0
425,Bangalore,5814000.0,1200.0,Bangalore Babusa Palya,2.0
426,Bangalore,4050000.0,1140.0,Bangalore Babusa Palya,2.0
427,Bangalore,5000000.0,1535.0,Bangalore Babusa Palya,2.0
428,Bangalore,4000000.0,1535.0,Bangalore Babusa Palya,2.0
429,Bangalore,23100000.0,2480.0,Bangalore Banashankari,3.0
430,Bangalore,28300000.0,3033.0,Bangalore Banashankari,4.0
431,Bangalore,21400000.0,2378.0,Bangalore Banashankari,3.0
432,Bangalore,23500000.0,2522.0,Bangalore Banashankari,3.0
433,Bangalore,29900000.0,3205.0,Bangalore Banashankari,4.0
434,Bangalore,29900000.0,3205.0,Bangalore Banashankari,4.0
435,Bangalore,28300000.0,3033.0,Bangalore Banashankari,4.0
436,Bangalore,23500000.0,2522.0,Bangalore Banashankari,3.0
437,Bangalore,23100000.0,2480.0,Bangalore Banashankari,3.0
438,Bangalore,21400000.0,2378.0,Bangalore Banashankari,3.0
440,Bangalore,22500000.0,2560.0,Bangalore Banashankari,3.0
442,Bangalore,7165000.0,980.0,Bangalore Banashankari,2.0
444,Bangalore,9324000.0,1335.0,Bangalore Banashankari,2.0
445,Bangalore,9324000.0,1332.0,Bangalore Banashankari,2.0
446,Bangalore,9324000.0,1331.0,Bangalore Banashankari,2.0
447,Bangalore,4806000.0,1334.0,Bangalore Banashankari,2.0
448,Bangalore,6700000.0,1333.0,Bangalore Banashankari,2.0
449,Bangalore,6859999.0,979.0,Bangalore Banashankari,2.0
450,Bangalore,5900000.0,982.0,Bangalore Banashankari,2.0
451,Bangalore,5900000.0,981.0,Bangalore Banashankari,2.0
452,Bangalore,5900000.0,978.0,Bangalore Banashankari,2.0
453,Bangalore,9300000.0,980.0,Bangalore Banashankari,2.0
454,Bangalore,9324000.0,1335.0,Bangalore Banashankari,3.0
455,Bangalore,9324000.0,1335.0,Bangalore Banashankari,2.0
456,Bangalore,6859999.0,1336.0,Bangalore Banashankari,2.0
